"sid" "(2,4 or 2,5)-dimethylphenol sulfate" "1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*" "1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*" "1-linoleoyl-GPG (18:2)*" "1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*" "1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)" "1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)" "1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*" "2-methylserine" "3-aminoisobutyrate" "3b-hydroxy-5-cholenoic acid" "3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)" "3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)" "3-hydroxy-2-ethylpropionate" "3-methylglutarylcarnitine (2)" "3-methylhistidine" "4-guanidinobutanoate" "4-hydroxycoumarin" "5-(galactosylhydroxy)-L-lysine" "5alpha-pregnan-3beta,20alpha-diol monosulfate (2)" "cholesterol" "EDTA" "eicosenamide (20:1)*" "glycerate" "glycosyl ceramide (d18:2/24:1, d18:1/24:2)*" "lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*" "lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)" "N1-Methyl-2-pyridone-5-carboxamide" "o-cresol sulfate" "oleoyl-oleoyl-glycerol (18:1/18:1) [2]*" "oxalate (ethanedioate)" "palmitoyl sphingomyelin (d18:1/16:0)" "pyridoxate" "quinolinate" "sphingomyelin (d18:2/24:1, d18:1/24:2)*" "sphingomyelin (d18:2/24:2)*" "sphingosine 1-phosphate" "threonate" "X - 13866" "X - 15503" "X - 17010" "X - 17146" "X - 17185" "X - 18914 - retired for 3-bromo-5-chloro-2,6-dihydroxybenzoic acid*" "X - 21467" "X - 21834" "X - 23046 - retired for 2,2'-Methylenebis(6-tert-butyl-p-cresol)" "X - 24812" "X - 25420"
"10072F" -0.963101492436359 0.542388982912488 0.046205262438977 0.233202274601126 -0.0890611532045053 -0.125007443279088 0.621054746266998 0.341180024819587 -0.413236529275762 0.463960700473986 1.41840584390752 0.981829068116551 0.856530535945548 -3.1155196646629 0.495419610371453 0.704232788598254 0.538601241174411 1.5124997078925 -1.25419329841177 -0.872169129222015 -0.88292614156459 -0.0177397435273083 -0.599753731412788 0.357977571280125 0.33892060651684 0.0761301381382967 -1.18219038460603 0.307335388541818 -0.426414251009215 0.20103491903969 0.619208990734606 0.977746119059686 -0.309803449858211 0.855969633120469 0.502412725393045 0.36724226808468 1.40960565884254 0.0792674834970599 -0.192794129383666 2.01796539204934 -1.19274631654638 0.246074673824001 0.215221392439825 1.11314158279579 -0.895310033492947 0.38851861392185 -0.204433922920706 -0.170841072341355 -1.62948979384364
"10057J" 0.0358740678093073 1.67919927933578 0.369463627684738 -0.64153141132224 -0.700027691176914 -1.62146172203753 -1.23333579380542 -0.201492560668024 0.160271495925446 0.35771264525399 -0.142460786778422 0.809523007638058 -0.0625656574322929 -0.0784765225044055 -0.293788207318562 0.505643393061667 -0.347440375469776 0.0165149212850929 1.09047872847927 0.0868970625318137 -0.28998636373095 0.337699991795967 0.207806238922227 0.404252722887305 0.454766381924086 0.636298396236923 1.13793687848888 2.39933046124434 -0.282918354394596 -2.33049669730422 0.825973597992875 1.28298684066034 3.360508701597 -0.695113176517811 0.845971015707859 0.973154973418066 0.089201171722763 0.936651726479563 1.09680010905096 -0.677781479949836 -0.304361217131143 2.50217895514223 1.39308131938786 1.76477218687351 -0.49171208047507 -0.432438054897087 -0.177329612536738 -0.401733500428038 0.706990971621586
"10056H" 0.347351585983337 -0.592429908050797 -1.4261440913233 -0.760548149097537 1.14607538609174 -0.578295410062434 1.05463536143889 -0.0428981413066962 -0.879301597100463 -0.694311144844607 -0.364596406516671 -0.69055926840879 -1.8456617285857 -0.89392552755193 -1.91294553737465 -0.995348498569616 0.341919556239759 -0.0612333667991871 -1.1369497354603 0.0218207671842023 -0.130224101291615 0.38954170803092 0.237246794850532 -0.960008250859032 0.731340757397074 -0.863950746003495 -0.842449398333561 -1.61085817310838 -2.24264852314191 0.604490040479185 -0.219533915446662 -0.051004882122504 -1.23392078503332 -0.0984267752695777 0.641922363339303 0.622023356337781 -0.301012982760216 -0.458516918651285 0.403223219089103 -0.613847639706185 -1.99048233115176 -0.940178296468773 -0.972811546856571 -0.900194348831225 0.141497179140793 0.197257218522068 -0.410630899733756 -0.232904973387887 -1.51292588908927
"10031R" 0.907456183427344 -0.0601703596786427 0.516946121455858 -0.873528930440256 -1.14277899288774 -1.07020940962947 -0.896309286237308 -0.0724789013355745 0.82077408647495 0.0265976848551636 -1.89308113147157 0.532323159349727 1.29693386250092 -0.455858287045378 -0.197185086282792 0.424309114528281 2.23497486728736 -0.562483568371335 1.43695855788645 0.695309857888404 -0.491528872955223 0.474827807232067 -0.490973218716981 -1.69676368062546 0.839573503859953 0.51735198065361 0.432618844297563 -0.396934583792629 0.740109478851846 -0.24451150823863 -1.67202538201835 0.589828204073 -1.41331011359428 -0.441501794441673 1.10223298394178 0.609088913035284 1.13903143111426 -2.01641724667691 0.326779639216654 -1.09933417093706 -0.0372934540525291 0.818969009866231 0.733136654870473 -0.326564080377663 -0.416590646536883 -0.0555930492069781 0.521269304716454 2.51063250020334 2.34202902908187
"10062C" -0.468731511923634 0.147415843403708 0.00306713572521806 0.458264649372673 -0.212784623555725 0.481707635762582 -0.0611776465011248 0.616563985791767 -0.596605286683839 -1.21622867162714 0.765945736346157 1.25736769873045 0.39730029948353 0.265540503757438 -0.639004271154334 0.29182399566719 -0.810769728847498 0.707424482008811 -0.504810769900908 0.831002977278188 1.05720818566216 -0.127866284690899 1.84696105357481 -0.370989918446829 0.916238026420183 0.488641112398406 0.524374590116719 -0.804610362745676 -0.0911771293522396 0.738729433097103 -0.178329814299115 1.41322591111306 -0.400649746057117 0.164433651345088 0.489271028223531 0.161680277811819 1.05571475170828 -0.137306509430839 -0.472173005088856 0.181798816340243 -0.214576006239833 0.275691305714844 0.372744547062148 -0.784545902191994 -0.244481507730133 1.78831117223369 -1.00105707764215 -0.39299437936219 0.895543113474426
"10032T" -1.53383968556292 -1.15189684935181 -1.84611185773889 1.30399515054191 0.638149077127495 1.59664822834214 0.693266213674365 1.06250527747784 -0.585270918802402 -1.99621860432352 0.208829599475764 -0.221341130453867 0.0713213894234296 -0.234012660355878 -0.307195991061771 -0.00267414973941909 -1.02085773815495 -1.04165367323961 -0.359314595886614 0.0371709546714989 -0.326601056882818 -0.206058412792914 -0.502245915157869 0.474175892183515 -1.24357814416436 -1.14088458934023 -1.47317250516769 0.598398634674724 -2.51427559646179 1.23402811634795 0.736353789505817 -1.74521519002918 2.43039830448151 -0.307970774935793 -1.4518798691302 -0.92598265503029 0.582901871111548 0.64589717172704 0.428879151398555 -0.390064075396368 -0.0739831979128401 0.148229569137769 -2.69668286578473 -1.37607066195435 0.0518923457705198 0.0778417002997634 -0.548135412737535 0.4575506632833 -0.233054532357024
"10359Z" -1.00618422515027 1.38762946916011 -0.0583370924911948 0.618533295982646 -0.687449782727521 1.53353457722126 -1.07078092667272 1.30561691142289 -0.406356785495956 -0.489893606666471 -0.628575703750031 -1.15164115911976 -0.975021991345399 -0.649685844172044 -0.495180256962387 -1.21521267762715 -1.53208251250803 0.765759395375379 -1.06204403316307 -1.68755662793175 1.60168283494533 0.210976438011348 1.67020774296823 -1.61078211333558 0.992402259973913 0.535982040454308 0.260494726892804 -1.3387270153703 -1.2168272954277 0.818235401635975 -1.50897806993201 0.383643331650511 -1.28276739877657 -0.611106457247355 1.17089513380634 0.613882246478847 -0.0754491894817611 -1.79323212471374 -0.742871559770585 -0.616109232358695 1.2749128210207 -0.424933824298606 -0.245269839561076 -0.203986227834095 -1.04911872962206 -0.00610311902040912 -0.369015030918698 0.272522792039813 -1.57461450860668
"10090H" 1.10929143307856 -0.174595781482531 -0.0624635632339619 1.78370970551639 0.0298434818556253 -0.235099777045529 -0.480130123643343 -1.16508020654667 1.11525410635394 0.434670286225884 -0.467334898255303 -1.03768907495628 0.937726113917781 0.80847702521179 1.11867744496646 1.33980507648703 0.06961119359943 0.363065595943009 -0.0429223070591819 0.511119315153172 -1.10494141704593 0.762578447296297 0.938009765530422 -1.45263310675042 0.378670369533218 1.61245377901468 1.3243712005198 -0.33773530543638 0.820321552828071 1.13810777552442 -2.0884127028374 0.13235234081887 -1.12238862058722 -0.688057375955109 0.13544531416385 0.0118037753702446 1.46621707949871 -2.37198427797724 -0.406580751759125 0.473487489840036 0.648579353632492 -0.241699910585604 0.739014347811928 -0.214257560207877 1.1014169761428 0.898911462470675 0.288978939527224 2.30177401041251 2.37749971703776
"10328O" -0.469551656120796 -0.241238161089019 -0.286913012826127 -0.507059070646139 -0.0454112104452368 0.215063899658789 -0.0422509050996967 1.23836899773921 -1.23693814556567 0.799517205798418 1.02001590674263 0.871749385995118 0.16503489342803 0.249467073518024 0.609733605108687 1.04910150621763 0.255261577026647 0.434181794188104 1.53585442210304 0.229191911728772 -0.715859881564912 0.168861719521585 1.11992808786084 1.38241335784971 -0.171773365072687 -0.498739819594538 -0.200828646166201 0.765367889015525 0.326969968476604 -0.0142613987814172 1.17382154063704 -0.228696589370713 0.538403082007229 0.293315554641106 0.691311323337958 0.443217072532017 0.192518057021282 0.925220297330264 0.848699043762273 0.337617542497682 0.0432254057540791 -1.25832029002449 0.374756904234324 -0.0937639834438952 0.934558184779896 1.15116098751287 0.350362293788319 -0.654817772793299 -0.849116925457496
"10283S" -1.2909442118562 0.109559322876179 0.711552404594792 -0.0118578680970041 -2.89224944545419 1.08641031274429 -1.94185815305377 1.48710556827103 0.442276744688473 0.553404953155904 0.807324267337955 -1.98372739263048 -0.533926791935978 -0.104705591447993 -0.867335082742084 -0.664841964779705 -0.0761430868287895 -0.550003584373367 -1.00742276197865 -0.343656034796328 0.596981647286388 1.63619323091568 0.837243678792473 -1.29906500769919 0.816803724292656 1.08838367470088 0.553641818572622 -0.65173391876927 -0.753026815876168 0.916211481854256 -2.23944017998986 0.361308130741868 -0.790486307955914 0.552276661898448 -0.00630654180653151 0.272328951527221 0.421024240050015 -1.8589051970325 0.0528281595121838 1.22459659038195 0.373262027228788 1.26901654791999 -0.522508455124389 -0.453546822544864 -0.718488428065706 -0.171107569625941 -0.296219747615896 -0.0242921530000616 -0.0436851225942065
